model,avg_fr
correct_v1G1,0.35398048162460327
correct_v3G1,0.5554988384246826
correct_v1G2,0.29855427145957947
correct_v3G2,0.6015125513076782
biov3,0.5563348531723022
biov2,0.18375925719738007
correct_v2G1,0.2397911697626114
correct_v1G3,0.28463253378868103
correct_v2G1,0.23904849588871002
correct_v3G3,0.5695604681968689
choice_v1G1,0.3231329321861267
correct_v2(2),0.23817430436611176
correct_v2(3),0.12569057941436768
correct_v2(4),0.10013822466135025
choice_v4_2,0.06565467268228531
choice_v4_2_correctctrl,0.07725074887275696
