model,stim_noise,accuracy
perceptionModule_Nrec12,1.4,0.95
perceptionModule_Nrec12,1.6,0.99
perceptionModule_Nrec12,1.8,0.99
perceptionModule_Nrec12,3.0,0.96
perceptionModule_Nrec12,10.0,0.57
perceptionModule_Nrec12,5.0,0.8
perceptionModule_Nrec12,6.0,0.5
perceptionModule_Nrec12,5.0,0.85
perceptionModule_Nrec12,5.5,0.74
perceptionModule_Nrec12,5.0,0.75
perceptionModule_Nrec12,4.0,0.88
perceptionModule_Nrec12,2.661164798889171,0.99
perceptionModule_Nrec12,1.4198386794839837,0.99
perceptionModule_Nrec12,3.007499336781188,0.95
perceptionModule_Nrec12,3.228608187420842,0.98
perceptionModule_Nrec12,2.5106383657502356,0.81
perceptionModule_Nrec12,1.173512983822293,0.98
perceptionModule_Nrec12,5.481259184210956,0.83
perceptionModule_Nrec12,1.0476287255597674,0.99
perceptionModule_Nrec12,3.743792803212516,0.94
perceptionModule_Nrec12,4.594026657558069,0.49
perceptionModule_Nrec12,4.206433995045965,0.86
perceptionModule_Nrec12,1.3106939382212426,0.96
perceptionModule_Nrec12,4.224051192634692,0.5700000000000001
perceptionModule_Nrec12,3.093328719065451,0.98
perceptionModule_Nrec12,1.8961796406228393,0.98
perceptionModule_Nrec12,3.214999062021246,0.99
perceptionModule_Nrec12,1.2456280897829726,0.99
perceptionModule_Nrec12,3.114368165430763,0.92
perceptionModule_Nrec12,3.7478895661455542,0.71
perceptionModule_Nrec12,2.17676269024116,0.69
model,in_noise=0.1,const_noise,accuracy
perceptionModule_Nrec50dale,0.2,1.0
perceptionModule_Nrec50dale,0.5,0.9299999999999999
perceptionModule_Nrec50dale_recnoise.01,0.7,0.83
perceptionModule_Nrec50dale_recnoise.01,0.9,0.8200000000000001
perceptionModule_Nrec50dale_recnoise.1,1.0,0.6
perceptionModule_Nrec50dale_recnoise.1,1.0,0.72
perceptionModule_Nrec50dale_recnoise.1,0.5,0.88
perceptionModule_Nrec50dale_recnoise.1,0.6,0.87
perceptionModule_Nrec50dale_recnoise.1,0.7,0.8
perceptionModule_Nrec50dale_recnoise.1,0.8,0.8
perceptionModule_Nrec50dale_recnoise.1,0.7,0.92
perceptionModule_Nrec50dale_recnoise.1,0.75,0.76
perceptionModule_Nrec50dale_recnoise.1,0.8,0.87
perceptionModule_Nrec50dale_recnoise.1,0.7,0.86
perceptionModule_Nrec50dale_recnoise.1,0.75,0.87
perceptionModule_Nrec50dale_recnoise.1,0.8,0.75
perceptionModule_Nrec50dale_recnoise.1,0.8,0.85
